Order,Vital Records Form,Form URL,Form Element,IG,Mapping Profile,Profile,Field,Context,Questionnaire,QuestionnaireField,Notes/Questions
1-105,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.7 Abnormal Conditions of the Newborn: Significant birth injury,not implemented,not implemented,not implemented,,,,,"See NA tab, row 17"
1-106,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,54.8 Abnormal Conditions of the Newborn: None of the above,BFDR,Observation-none-of-specified-abnormal-conditions-of-newborn,Observation-none-of-specified-abnormal-conditions-of-newborn,,,,,
1-107,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,55. Congenital Anomalies of the Newborn,BFDR,Condition-congenital-anomaly-of-newborn,Condition-congenital-anomaly-of-newborn,,,,,"Does profile (value set) also  accommodate these values?
o   Karyotype confirmed
o   Karyotype pending
…for  Down Syndrome & Suspected chromosomal disorder"
1-108,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,56. Was Infant Transferred Within 24 Hours Of Delivery?,BFDR,Encounter-birth,Encounter-birth,hospitalization.dischargeDisposition,,,,
1-109,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,57. Is Infant Living At Time of Report?,VRCPL,Observation-infant-living,Observation-infant-living-vr,,,,,
1-110,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,58. Is The Infant Being Breastfed At Discharge?,BFDR,Observation-infant-breastfed-at-discharge,Observation-infant-breastfed-at-discharge,,,,,
2-001,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,Mother’s medical record #,VRCPL,Patient-mother-vr,Patient-mother-vr,identifier:MRN,,,,
2-002,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,Mother’s name,VRCPL,Patient-mother-vr,Patient-mother-vr,name,,,,
2-003,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,1. Facility name / address,US CORE,Encounter-birth,us-core-location,name/address,Encounter-birth,,,
2-004,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,2. Facility I.D.,US CORE,Encounter-birth,us-core-location,identifier,Encounter-birth,,,
2-005,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,"3. City, Town or Location of birth",FHIR,Patient-child-vr,patient-birthPlace,,Patient-child-vr.extension,,,
2-006,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,4. County of birth,FHIR,Patient-child-vr,patient-birthPlace,,Patient-child-vr.extension,,,
2-007,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,5. Place where birth occurred,BFDR,Encounter-birth,Encounter-birth,location.physicalType,,,,
,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,5.a. Home Birth: Planned to deliver at home?,BFDR,Observation-planned-to-deliver-at-home,Observation-planned-to-deliver-at-home,,,,,
2-008,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,6. Date of first prenatal care visit,BFDR,Observation-date-of-first-prenatal-care-visit,Observation-date-of-first-prenatal-care-visit,,,,,
2-009,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,7. Total number of prenatal care visits for this pregnancy,VRCPL,Observation-number-prenatal-visits,Observation-number-prenatal-visits-vr,,,,,
2-010,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,8. Date last normal menses began,VRCPL,Observation-last-menstrual-period,Observation-last-menstrual-period-vr,,,,,
2-011,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,9. Number of previous live births now living,VRCPL,Observation-number-births-now-living,Observation-number-births-now-living-vr,,,,,
2-012,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,10. Number of previous live births now dead,VRCPL,Observation-number-births-now-dead,Observation-number-births-now-dead-vr,,,,,
2-013,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,11. Date of last live birth,BFDR,Observation-date-of-last-live-birth,Observation-date-of-last-live-birth,,,,,
2-014,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,12. Number of other pregnancy outcomes,VRCPL,Observation-number-other-pregnancy-outcomes,Observation-number-other-pregnancy-outcomes-vr,,,,,
2-015,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,13. Date of last other pregnancy outcome,BFDR,Observation-date-of-last-other-pregnancy-outcome,Observation-date-of-last-other-pregnancy-outcome,,,,,
2-018,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.1. Risk factors in this pregnancy: Diabetes - Prepregnancy,VRCPL,Condition-prepregnancy-diabetes,Condition-prepregnancy-diabetes-vr,,,,,
2-019,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.2. Risk factors in this pregnancy: Diabetes - Gestational,VRCPL,Condition-gestational-diabetes,Condition-gestational-diabetes-vr,,,,,
2-021,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.3. Risk factors in this pregnancy: Hypertension - Prepregnancy,VRCPL,Condition-prepregnancy-hypertension,Condition-prepregnancy-hypertension-vr,,,,,
2-022,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.4. Risk factors in this pregnancy: Hypertension - Gestational,VRCPL,Condition-gestational-hypertension,Condition-gestational-hypertension-vr,,,,,
2-023,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.5. Risk factors in this pregnancy: Eclampsia,VRCPL,Condition-eclampsia-hypertension,Condition-eclampsia-hypertension-vr,,,,,
2-024,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.6. Risk factors in this pregnancy: Previous preterm births,VRCPL,Observation-previous-preterm-birth,Observation-previous-preterm-birth-vr,,,,,
2-025,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.7. Risk factors in this pregnancy: Pregnancy resulted from infertility treatment,VRCPL,Procedure-infertility-treatment,Procedure-infertility-treatment-vr,,,,,
2-027,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,"14.8. Risk factors in this pregnancy: Fertility-enhancing drugs, artificial insemination or intrauterine insemination",VRCPL,Procedure-artificial-insemination,Procedure-artificial-insemination-vr,,,,,
2-028,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.9. Risk factors in this pregnancy: Assisted reproductive technology,VRCPL,Procedure-assisted-fertilization,Procedure-assisted-fertilization-vr,,,,,
2-029,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.10. Risk factors in this pregnancy: previous cesarean delivery,VRCPL,Observation-previous-cesarean,Observation-previous-cesarean-vr,,,,,
2-031,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,14.11. Risk factors in this pregnancy: None of the above,VRCPL,Observation-none-of-specified-pregnancy-risk-factors,Observation-none-of-specified-pregnancy-risk-factors-vr,,,,,
2-032,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,15. Infections present and/or treated during this pregnancy,BFDR,Condition-infection-present-during-pregnancy,Condition-infection-present-during-pregnancy,,,,,Value set also includes Genital herpes simplex (disorder). Is that OK?
2-039,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,16. Obstetric procedures,BFDR,Procedure-obstetric,Procedure-obstetric,,,,,
2-044,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,17. Date of birth,VRCPL,Patient-child-vr,Patient-child-vr,birthDate,,,,
2-045,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,18. Time of birth,FHIR,Patient-child-vr,patient-birthTime,,Patient-child-vr.birthDate.extension,,,
2-046,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,19. Certifier’s name,VRCPL,Practitioner-vr,Practitioner-vr,name,Encounter-birth,,,
2-046,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,19. Certifier’s title,VRCPL,Practitioner-vr,Practitioner-vr,qualification,Encounter-birth,,,
2-047,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,20. Date certified,BFDR,Encounter-birth,Encounter-birth,participant:certifier.period.start,,,,or just .date?
2-048,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,21. Principal source of payment for this delivery,BFDR,Coverage-principal-payer-for-delivery,Coverage-principal-payer-for-delivery,,,,,
2-049,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,22. Infant’s medical record number,VRCPL,Patient-child-vr,Patient-child-vr,identifier:MRN,,,,
2-050,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,23. Was the mother transferred to this facility for maternal medical or fetal indications for delivery?,BFDR,Encounter-maternity,Encounter-maternity,"hospitalization.admitSource (Y if present, N if not present)",,,,
2-051,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,24. Attendant’s name,VRCPL,Practitioner-vr,Practitioner-vr,name,Encounter-birth,,,
2-051,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,24. Attendant’s title,VRCPL,Practitioner-vr,Practitioner-vr,qualification,Encounter-birth,,,
2-051,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,24. Attendant’s N.P.I.,VRCPL,Practitioner-vr,Practitioner-vr,identifier,Encounter-birth,,,
2-052,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,25. Mother’s weight at delivery,VRCPL,Observation-mother-delivery-weight,Observation-mother-delivery-weight-vr,,,,,
2-054,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.1. Characteristics of Labor and Delivery: Induction of labor,BFDR,Procedure-induction-of-labor,Procedure-induction-of-labor,,,,,
2-055,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.2. Characteristics of Labor and Delivery: Augmentation of labor,BFDR,Procedure-augmentation-of-labor,Procedure-augmentation-of-labor,,,,,
2-056,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.3. Characteristics of Labor and Delivery: Steroids for fetal lung maturation,BFDR,Observation-steroids-fetal-lung-maturation,Observation-steroids-fetal-lung-maturation,,,,,
2-057,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.4. Characteristics of Labor and Delivery: Antibiotics received by the mother during labor,BFDR,Observation-antibiotics-during-labor,Observation-antibiotics-during-labor,,,,,
2-058,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.5. Characteristics of Labor and Delivery: Clinical chorioamnionitis,BFDR,Condition-chorioamnionitis,Condition-chorioamnionitis,,,,,
2-059,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.6. Characteristics of Labor and Delivery: Epidural or spinal anesthesia during labor,BFDR,Procedure-epidural-or-spinal-anesthesia,Procedure-epidural-or-spinal-anesthesia,,,,,
2-060,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,26.7. Characteristics of Labor and Delivery: None of the above,BFDR,Observation-none-of-specified-characteristics-labor-delivery,Observation-none-of-specified-characteristics-labor-delivery,,,,,
2-062,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,27.C. Method of delivery: Fetal presentation at birth,BFDR,Observation-fetal-presentation,Observation-fetal-presentation,,,,,
2-066,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,27.D. Method of delivery: Final route and method of delivery,BFDR,Procedure-final-route-method-delivery,Procedure-final-route-method-delivery,,,,,
2-071,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,"27.D.1. Method of delivery: If cesarean, was a trial of labor attempted?",BFDR,Observation-labor-trial-attempted,Observation-labor-trial-attempted,,,,,
2-073,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,28.1. Maternal Morbidity: Maternal transfusion,BFDR,Procedure-blood-transfusion,Procedure-blood-transfusion,,,,,
2-074,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,28.2. Maternal Morbidity: Third or fourth degree perineal laceration,BFDR,Condition-perineal-laceration,Condition-perineal-laceration,,,,,
2-075,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,28.3. Maternal Morbidity: Ruptured uterus,BFDR,Condition-ruptured-uterus,Condition-ruptured-uterus,,,,,
2-076,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,28.4. Maternal Morbidity: Unplanned hysterectomy,BFDR,Procedure-unplanned-hysterectomy,Procedure-unplanned-hysterectomy,,,,,
2-077,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,28.5. Maternal Morbidity: Admission to intensive care unit,BFDR,Observation-icu-admission,Observation-icu-admission,,,,,
2-078,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,28.6. Maternal Morbidity: None of the above,BFDR,Observation-none-of-specified-maternal-morbidities,Observation-none-of-specified-maternal-morbidities,,,,,
2-079,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,29. Birthweight,VRCPL,Observation-birth-weight,Observation-birth-weight-vr,,,,,
2-082,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,30. Obstetric estimate of gestation at delivery,VRCPL,Observation-gestational-age-at-delivery,Observation-gestational-age-at-delivery-vr,,,,,
2-083,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,31. Sex:,US CORE,Patient-child-vr,us-core-birthsex,,Patient-child-vr.extension,,,
2-084,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,32. Apgar score,VRCPL,Observation-apgar-score,Observation-apgar-score-vr,,,,,
2-085,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,33. Plurality,FHIR,Patient-child-vr,patient-multipleBirthTotal,,Patient-child-vr.multipleBirthInteger.extension,,,
2-086,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,"34. If not single birth, order delivered in the pregnancy",VRCPL,Patient-child-vr,Patient-child-vr,multipleBirthInteger,,,,
2-087,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,"35. If not single birth, specify number of infants in this delivery born alive:",VRCPL,Observation-number-live-births-this-delivery,Observation-number-live-births-this-delivery-vr,,,,,
2-089,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,36.1. Abnormal Conditions of the Newborn: Assisted ventilation required immediately following delivery,BFDR,Procedure-assisted-ventilation-following-delivery,Procedure-assisted-ventilation-following-delivery,,,,,
2-090,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,36.2. Abnormal Conditions of the Newborn: Assisted ventilation required for more than six hours,BFDR,Procedure-assisted-ventilation-more-than-six-hours,Procedure-assisted-ventilation-more-than-six-hours,,,,,
2-091,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,36.3. Abnormal Conditions of the Newborn: NICU admission,BFDR,Observation-nicu-admission,Observation-nicu-admission,,,,,
2-092,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,36.4. Abnormal Conditions of the Newborn: Newborn given surfactant replacement therapy,BFDR,Procedure-surfactant-replacement-therapy,Procedure-surfactant-replacement-therapy,,,,,
2-093,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,36.5. Abnormal Conditions of the Newborn: Antibiotics received by the newborn for suspected neonatal sepsis,BFDR,Procedure-antibiotic-suspected-neonatal-sepsis,Procedure-antibiotic-suspected-neonatal-sepsis,,,,,
2-094,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,36.6 Abnormal Conditions of the Newborn: Seizure or serious neurologic dysfunction,BFDR,Condition-seizure,Condition-seizure,,,,,
2-095,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,54.7 Abnormal Conditions of the Newborn: None of the above,BFDR,Observation-none-of-specified-abnormal-conditions-of-newborn,Observation-none-of-specified-abnormal-conditions-of-newborn,,,,,
2-096,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,37. Congenital anomalies of the newborn,BFDR,Condition-congenital-anomaly-of-newborn,Condition-congenital-anomaly-of-newborn,,,,,"Does profile (value set) also  accommodate these values?
o   Karyotype confirmed
o   Karyotype pending
…for  Down Syndrome & Suspected chromosomal disorder"
2-114,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,38. Was infant transferred within 24 hours of delivery?,BFDR,Encounter-birth,Encounter-birth,hospitalization.dischargeDisposition,,,,
2-115,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,39. Is infant living at time of report?,VRCPL,Observation-infant-living,Observation-infant-living-vr,,,,,
2-116,2016 US Standard Facility Worksheet for the Live Birth Certificate,https://www.cdc.gov/nchs/data/dvs/facility-worksheet-2016-508.pdf,40. Is infant being breastfed at discharge?,BFDR,Observation-infant-breastfed-at-discharge,Observation-infant-breastfed-at-discharge,,,,,
3-001,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,Mother’s medical record #,VRCPL,Patient-mother-vr,Patient-mother-vr,identifier:MRN,,,,
3-002,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,Mother’s name,VRCPL,Patient-mother-vr,Patient-mother-vr,name,,,,
3-003,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,Child’s name/medical record #,VRCPL,Patient-child-vr,Patient-child-vr,identifier,,,,
3-004,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,Attachment # of #,not implemented,not implemented,not implemented,,,,,
3-005,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,9. Number of previous live births now living,VRCPL,Observation-number-births-now-living,Observation-number-births-now-living-vr,,,,,
3-006,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,10. Number of previous live births now dead,VRCPL,Observation-number-births-now-dead,Observation-number-births-now-dead-vr,,,,,
3-007,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,12. Number of other pregnancy outcomes,VRCPL,Observation-number-other-pregnancy-outcomes,Observation-number-other-pregnancy-outcomes-vr,,,,,
3-008,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,17. Date of birth,VRCPL,Patient-child-vr,Patient-child-vr,birthDate,,,,
3-009,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,18. Time of birth,FHIR,Patient-child-vr,patient-birthTime,,Patient-child-vr.birthDate.extension,,,
3-010,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,34. Order delivered in the pregnancy,VRCPL,Patient-child-vr,Patient-child-vr,multipleBirthInteger,,,,
3-012,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,26.1. Characteristics of Labor and Delivery: Induction of labor,BFDR,Procedure-induction-of-labor,Procedure-induction-of-labor,,,,,
3-013,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,26.2. Characteristics of Labor and Delivery: Augmentation of labor,BFDR,Procedure-augmentation-of-labor,Procedure-augmentation-of-labor,,,,,
3-014,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,26.3.. Characteristics of Labor and Delivery: Steroids for fetal lung maturation,BFDR,Observation-steroids-fetal-lung-maturation,Observation-steroids-fetal-lung-maturation,,,,,
3-016,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,26.4. Characteristics of Labor and Delivery: Antibiotics received by the mother during labor,BFDR,Observation-antibiotics-during-labor,Observation-antibiotics-during-labor,,,,,
3-017,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,26.5. Characteristics of Labor and Delivery: Clinical chorioamnionitis,BFDR,Condition-chorioamnionitis,Condition-chorioamnionitis,,,,,
3-018,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,26.6. Characteristics of Labor and Delivery: Epidural or spinal anesthesia during labor,BFDR,Procedure-epidural-or-spinal-anesthesia,Procedure-epidural-or-spinal-anesthesia,,,,,
3-019,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,26.7. Characteristics of Labor and Delivery: None of the above,BFDR,Observation-none-of-specified-characteristics-labor-delivery,Observation-none-of-specified-characteristics-labor-delivery,,,,,
3-021,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,27.C. Method of delivery: Fetal presentation at birth,BFDR,Observation-fetal-presentation,Observation-fetal-presentation,,,,,
3-025,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,27.D. Method of delivery: Final route and method of delivery,BFDR,Procedure-final-route-method-delivery,Procedure-final-route-method-delivery,,,,,
3-029,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,"27.D.1. If cesarean, was a trial of labor attempted?",BFDR,Observation-labor-trial-attempted,Observation-labor-trial-attempted,,,,,
3-033,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,28.1. Maternal Morbidity: Maternal transfusion,BFDR,Procedure-blood-transfusion,Procedure-blood-transfusion,,,,,
3-034,2016 US Standard Attachment to the Facility Worksheet for the Live Birth Certificate for Multiple Births,https://www.cdc.gov/nchs/data/dvs/multiple-births-worksheet-2016.pdf,28.2. Maternal Morbidity: Third or fourth degree perineal laceration,BFDR,Condition-perineal-laceration,Condition-perineal-laceration,,,,,
