sep=|
Flow|Field #|Beginning Location|Length|Contents|Name|Code Structure Description|IJE Only|VRDR Profile|Field|Encoding|Comments
Mortality|139|1317|28|Place of death. County of Death|COUNTYTEXT_D|Valid county literal|I|DeathLocation|address.district|string|-
Mortality|140|1345|5|Place of death. City FIPS code|CITYCODE_D|NCHS Instruction Manual: Part 8. Other part of the 12 digit fips code is contained in earlier part of the record with state and county of death. This is the place or city code|I|DeathLocation|address.city.extension[ cityCode]|integer|see [CityCodes]
Mortality|141|1350|17|Place of death. Longitude|LONG_D|"As coded by state of occurrence.  Commonly coded with space for a negative sign followed by 3 bytes| a decimal divider| and 6 decimal places."|I|DeathLocation|position.longitude|float|-
Mortality|142|1367|17|Place of Death. Latitude|LAT_D|"As coded by state of occurrence.  Commonly coded with space for a negative sign followed by 2 bytes| a decimal divider| and 6 decimal places."|I|DeathLocation|position.latitude|float|-
Mortality|143|1384|1|Decedent's spouse living at decedent's DOD?|SPOUSELV|"1=yes; 2=no; 8=unmarried; 9=unknown;
blank if not reported"|I|Decedent|extension[SpouseAlive] |codeable| [SpouseAliveVS]
Mortality|144|1385|50|Spouse's First Name|SPOUSEF|"Free form literal; if unknown| leave blank"|I|DecedentSpouse|name.given|string|-
Mortality|145|1435|50|Husband's Surname/Wife's Maiden Last Name|SPOUSEL |"Free form literal; if unknown| leave blank"|I|DecedentSpouse|"name.family| name.use = 'maiden"|string|-
Mortality|146|1485|10|Decedent's Residence - Street number|STNUM_R|||Decedent|address.extension[stnum]|string|-
Mortality|147|1495|10|Decedent's Residence - Pre Directional|PREDIR_R|||Decedent|address.extension[predir]|string|-
Mortality|148|1505|28|Decedent's Residence - Street name|STNAME_R|||Decedent|address.extension[stname]|string|-
Mortality|149|1533|10|Decedent's Residence - Street designator|STDESIG_R|||Decedent|address.extension[stdesig]|string|-
Mortality|150|1543|10|Decedent's Residence - Post Directional|POSTDIR_R|||Decedent|address.extension[postdir]|string|-
Mortality|151|1553|7|Decedent's Residence - Unit or apt number|UNITNUM_R|||Decedent|address.extension[unitnum]|string|-
Mortality|152|1560|28|Decedent's Residence - City or Town name|CITYTEXT_R|Valid city/town/location literal||Decedent|address.city|string|-
Mortality|153|1588|9|Decedent's Residence - ZIP code|ZIP9_R|"Valid 5+4 digit zip code; 3 space 3 for Canada; unknown portion left blank; do not include the ""-"""||Decedent|address.postalCode|string|-
Mortality|154|1597|28|Decedent's Residence - County|COUNTYTEXT_R|Valid county literal||Decedent|address.district|string|-
Mortality|155|1625|28|Decedent's Residence - State name|STATETEXT_R |Valid text for U.S. State or Territory or Canadian Province||Decedent|address.state (expanded from 2 letter code)|string|See [StateLiterals]
Mortality|156|1653|28|Decedent's Residence - COUNTRY name|COUNTRYTEXT_R|Valid text for country of residence||Decedent|address.country (expanded from 2 letter code)|string|See [CountryLiterals]
Mortality|157|1681|50|Long string address for decedent's place of residence same as above but allows states to choose the way they capture information.|ADDRESS_R|"The item is made up of one long string that includes Street number| Pre Directional| Street name| Street designator| Post Directional| and Unit or Apartment Number. Jurisdiction should use version of Decedent's Residence address that's used in their system versus reprogramming."||Decedent|address.line[0]|string|-
Mortality|158|1731|2|Old NCHS residence state code|RESSTATE|"See codes used before new 2003 codes -
Receiving state will recode"||<not implemented>|||-
Mortality|159|1733|3|Old NCHS residence city/county combo code|RESCON|"See codes used before new 2003 codes -
Receiving state will recode"||<not implemented>|||-
Mortality|160|1736|3|Hispanic|DETHNICE |"100 = NonHispanic
200-299 = Hispanic
996-999 = Unknown"||CodedRaceAndEthnicity|component[HispanicCode].value|codeable|[HispanicOriginVS]
Mortality|161|1739|2|Bridged Race|NCHSBRIDGE|||<not implemented>|||-
Mortality|162|1741|1|Hispanic - old NCHS single ethnicity codes|HISPOLDC|||<not implemented>|||-
Mortality|163|1742|1|Race - old NCHS single race codes|RACEOLDC|||<not implemented>|||-
Mortality|164|1743|15|Hispanic Origin - Specify |HISPSTSP|||<not implemented>|||-
Mortality|165|1758|50|Race - Specify|RACESTSP|||<not implemented>|||-
Mortality|166|1808|50|Middle Name of Decedent |DMIDDLE|NCHS only asks for middle initial in start col 77. Free form alpha literal; left justified|i|Decedent|"name.given | name.use = official"|string|-
Mortality|167|1858|50|Father's First Name|DDADF|"Free form literal; if unknown| leave blank"|i|DecedentFather|"name.given | name.use = official"|string|-
Mortality|168|1908|50|Father's Middle Name|DDADMID|"Free form literal; if unknown| leave blank"|i|DecedentFather|"name.given | name.use = official"|string|-
Mortality|169|1958|50|Mother's First Name|DMOMF|"Free form literal; if unknown| leave blank"|i|DecedentMother|"name.given | name.use = official"|string|-
Mortality|170|2008|50|Mother's Middle Name|DMOMMID|"Free form literal; if unknown| leave blank"|i|DecedentMother|"name.given | name.use = official"|string|-
Mortality|171|2058|50|Mother's Maiden Surname|DMOMMDN|"Free form literal; if unknown| leave blank"|i|DecedentMother|"name.family | name.type=maiden"|string |-
Mortality|172|2108|1|Was case Referred to Medical Examiner/Coroner?|REFERRED|Y=Yes; N=No; U=Unknown|i|ExaminerContacted|value|codeable|[YesNoUnknownVS]
Mortality|173|2109|50|Place of Injury- literal|POILITRL|Literal description; Blank for natural death||InjuryIncident|component[ placeOfInjury ].value.text|string|-
Mortality|174|2159|250|Describe How Injury Occurred|HOWINJ|Literal description; Blank for natural death||InjuryIncident|value.text|string|-
Mortality|175|2409|30|"If Transportation Accident| Specify"|TRANSPRT|"DR=Driver/Operator
PA=Passenger
PE=Pedestrian
Enter full text if it does not fit above (blank for natural death)"||InjuryIncident|component[ transportationRole ].value.  (if value.code = OTH) the role should be specified in value.text)|codeable|[TransportationIncidentRoleVS]
Mortality|176|2439|28|County of Injury - literal|COUNTYTEXT_I|Valid county literal; blank for natural death|i|InjuryLocation|address.district|string|-
Mortality|177|2467|3|County of Injury code|COUNTYCODE_I|"NCHS Instruction Manual: Part 8; 999=unknown;
Blank for natural death."|i|InjuryLocation|address.district.extension[ countyCode].value|integer|see [CountyCodes]
Mortality|178|2470|28|Town/city of Injury - literal|CITYTEXT_I|Valid town/city literal; blank for natural death.|i|InjuryLocation|address.city|string|-
Mortality|179|2498|5|Town/city of Injury code|CITYCODE_I|NCHS Instruction Manual: Part 8; blank for natural death.|i|InjuryLocation|address.city.extension[ cityCode].value|integer|see [CityCodes]
Mortality|180|2503|2|"State| U.S. Territory or Canadian Province of Injury - code"|STATECODE_I|"NCHS Instruction Manual: Part 8
   ZZ = UNKNOWN OR BLANK U.S. STATE OR TERRITORY OR UNKNOWN/ UNCLASSIFIABLE COUNTRY
   XX = COUNTRY IS CANADA BUT UNKNOWN CANADIAN PROVINCE OR ANY COUNTRY THAT IS KNOWN| BUT NOT U.S. OR CANADA                                                                                 For U.S. Territories:
   MP  NORTHERN MARIANAS
   AS  AMERICAN SAMOA
   GU  GUAM
   VI   VIRGIN ISLANDS
   PR  PUERTO RICO
For Canadian Provinces:
   AB  ALBERTA
   BC  BRITISH COLUMBIA
   MB  MANITOBA
   NB  NEW BRUNSWICK
   NL  NEWFOUNDLAND AND LABRADOR
   NS  NOVA SCOTIA
   NT  NORTHWEST TERRITORIES
   NU  NUNAVUT
   ON  ONTARIO
   PE  PRINCE EDWARD ISLAND
   QC  QUEBEC
   SK  SASKATCHEWAN
   YT  YUKON"|i|InjuryLocation|address.state|string|[StatesTerritoriesProvincesVS]
Mortality|181|2505|17|Place of injury. Longitude|LONG_I|"As coded by state of occurrence.  Commonly coded with space for a negative sign followed by 3 bytes| a decimal divider| and 6 decimal places (blank if natural death)."|i|InjuryLocation|position.longitude|float|-
Mortality|182|2522|17|Place of injury. Latitude|LAT_I|"As coded by state of occurrence.  Commonly coded with space for a negative sign followed by 2 bytes| a decimal divider| and 6 decimal places (blank if natural death)."|i|InjuryLocation|position.latitude|float|-
Mortality|183|2539|2|Old NCHS education code if collected - receiving state will recode as they prefer|OLDEDUC|||<not implemented>|||-
Mortality|184|2541|1|Replacement Record |REPLACE|"0=original record; 1=updated record; 2=updated| do not send to NCHS"||DeathCertificate|extension[replaceStatus].value|codeable|[ReplaceStatusVS]
Mortality|185|2542|120|Cause of Death Part I Line a|COD1A|Literal information reported on Line a||CauseOfDeathPart1|"value.text|   component[lineNumber] = 1"|string(120)|-
Mortality|186|2662|20|"Cause of Death Part I Interval| Line a"|INTERVAL1A|Duration reported on Line a||CauseOfDeathPart1|"component[interval].value| component[lineNumber] = 1"|string(20)|-
Mortality|187|2682|120|Cause of Death Part I Line b|COD1B|Literal information reported on Line b||CauseOfDeathPart1|"value.text|   component[lineNumber] = 2"|string(120)|-
Mortality|188|2802|20|"Cause of Death Part I Interval| Line b"|INTERVAL1B|Duration reported on Line b||CauseOfDeathPart1|"component[interval].value| component[lineNumber] = 2"|string(20)|-
Mortality|189|2822|120|Cause of Death Part I Line c|COD1C|Literal information reported on Line c||CauseOfDeathPart1|"value.text|   component[lineNumber] = 3"|string(120)|-
Mortality|190|2942|20|"Cause of Death Part I Interval| Line c"|INTERVAL1C|Duration reported on Line c||CauseOfDeathPart1|"component[interval].value| component[lineNumber] = 3"|string(20)|-
Mortality|191|2962|120|Cause of Death Part I Line d|COD1D|Literal information reported on Line d||CauseOfDeathPart1|"value.text|   component[lineNumber] = 4"|string(120)|-
Mortality|192|3082|20|"Cause of Death Part I Interval| Line d"|INTERVAL1D|Duration reported on Line d||CauseOfDeathPart1|"component[interval].value| component[lineNumber] = 4"|string(20)|-
Mortality|193|3102|240|Cause of Death Part II|OTHERCONDITION|Literal information reported in Part II||CauseOfDeathPart2|value.text|string(240)|-
Mortality|194|3342|50|Decedent's Maiden Name|DMAIDEN||i|Decedent|"name.text | name.use=maiden"|string|-
Mortality|195|3392|5|Decedent's Birth Place City - Code|DBPLACECITYCODE|NCHS Instruction Manual: Part 8|i|Decedent|extension[patient-birthPlace].value[x].city.extension[ cityCode]|integer|see [CityCodes]
Mortality|196|3397|28|Decedent's Birth Place City - Literal|DBPLACECITY||i|Decedent|extension[patient-birthPlace].value[x].city|string|-
Mortality|197|3425|50|Spouse's Middle Name|SPOUSEMIDNAME||i|DecedentSpouse|"name.given | name.use = official"|string|-
Mortality|198|3475|10|Spouse's Suffix|SPOUSESUFFIX||i|DecedentSpouse|"name.suffix | name.use = official"|string|-
Mortality|199|3485|10|Father's Suffix|FATHERSUFFIX||i|DecedentFather|"name.suffix | name.use = official"|string|-
Mortality|200|3495|10|Mother's Suffix|MOTHERSSUFFIX||i|DecedentMother|"name.suffix | name.use = official"|string|-
Mortality|201|3505|30|Informant's Relationship|INFORMRELATE||i|Decedent|contact.type.text |string (30 characters)|-
Mortality|202|3535|2|"State| U.S. Territory or Canadian Province of Disposition - code"|DISPSTATECD|"NCHS Instruction Manual: Part 8
   ZZ = UNKNOWN OR BLANK U.S. STATE OR TERRITORY OR UNKNOWN/ UNCLASSIFIABLE COUNTRY
   XX = COUNTRY IS CANADA BUT UNKNOWN CANADIAN PROVINCE OR ANY COUNTRY THAT IS KNOWN| BUT NOT U.S. OR CANADA                                                                                  For U.S. Territories:
   MP  NORTHERN MARIANAS
   AS  AMERICAN SAMOA
   GU  GUAM
   VI   VIRGIN ISLANDS
   PR  PUERTO RICO
For Canadian Provinces:
   AB  ALBERTA
   BC  BRITISH COLUMBIA
   MB  MANITOBA
   NB  NEW BRUNSWICK
   NL NEWFOUNDLAND AND LABRADOR
   NS  NOVA SCOTIA
   NT  NORTHWEST TERRITORIES
   NU  NUNAVUT
   ON  ONTARIO
   PE  PRINCE EDWARD ISLAND
   QC  QUEBEC
   SK  SASKATCHEWAN
   YT  YUKON"|i|DispositionLocation|address.state|string|[StatesTerritoriesProvincesVS]
Mortality|203|3537|28|Disposition State or Territory - Literal|DISPSTATE|"Valid state| U.S. territory or Canadian province literal| otherwise blank"|i|DispositionLocation|address.state (expanded from 2 letter code)|string|See [StateLiterals]
Mortality|204|3565|5|Disposition City - Code|DISPCITYCODE|NCHS Instruction Manual: Part 8|i|DispositionLocation|address.city.extension[ cityCode].value|integer|see [CityCodes]
Mortality|205|3570|28|Disposition City - Literal|DISPCITY||i|DispositionLocation|address.city|string|-
Mortality|206|3598|100|Funeral Facility Name|FUNFACNAME|Funeral Facility Name (Funeral Home Name)|i|FuneralHome|name|string|-
Mortality|207|3698|10|Funeral Facility - Street number|FUNFACSTNUM||i|FuneralHome|address.extension[stnum]|string|-
Mortality|208|3708|10|Funeral Facility - Pre Directional|FUNFACPREDIR||i|FuneralHome|address.extension[predir]|string|-
Mortality|209|3718|28|Funeral Facility - Street name|FUNFACSTRNAME||i|FuneralHome|address.extension[stname]|string|-
Mortality|210|3746|10|Funeral Facility - Street designator|FUNFACSTRDESIG||i|FuneralHome|address.extension[stdesig]|string|-
Mortality|211|3756|10|Funeral Facility - Post Directional|FUNPOSTDIR||i|FuneralHome|address.extension[postdir]|string|-
Mortality|212|3766|7|Funeral Facility - Unit or apt number|FUNUNITNUM||i|FuneralHome|address.extension[unitnum]|string|-
Mortality|213|3773|50|Long string address for Funeral Facility same as above but allows states to choose the way they capture information.|FUNFACADDRESS|"The item is made up of one long string that includes Street number| Pre Directional| Street name| Street designator| Post Directional| and Unit or Apartment Number. Jurisdiction should use version of Funeral Facility address that's used in their system versus reprogramming."|i|FuneralHome|address.line|string|address.line
Mortality|214|3823|28|Funeral Facility - City or Town name|FUNCITYTEXT|Valid city/town/location literal|i|FuneralHome|address.city|string|address.city
Mortality|215|3851|2|"State| U.S. Territory or Canadian Province of Funeral Facility - code"|FUNSTATECD|"NCHS Instruction Manual: Part 8
   ZZ = UNKNOWN OR BLANK U.S. STATE OR TERRITORY OR UNKNOWN/ UNCLASSIFIABLE COUNTRY
   XX = COUNTRY IS CANADA BUT UNKNOWN CANADIAN PROVINCE OR ANY COUNTRY THAT IS KNOWN| BUT NOT U.S. OR CANADA                                                                                       For U.S. Territories:
   MP  NORTHERN MARIANAS
   AS  AMERICAN SAMOA
   GU  GUAM
   VI   VIRGIN ISLANDS
   PR  PUERTO RICO
For Canadian Provinces:
   AB  ALBERTA
   BC  BRITISH COLUMBIA
   MB  MANITOBA
   NB  NEW BRUNSWICK
   NL NEWFOUNDLAND AND LABRADOR
   NS  NOVA SCOTIA
   NT  NORTHWEST TERRITORIES
   NU  NUNAVUT
   ON  ONTARIO
   PE  PRINCE EDWARD ISLAND
   QC  QUEBEC
   SK  SASKATCHEWAN
   YT  YUKON"|i|FuneralHome|address.state|string|[StatesTerritoriesProvincesVS]
Mortality|216|3853|28|"State| U.S. Territory or Canadian Province of Funeral Facility - literal"|FUNSTATE|"Valid state| U.S. territory or Canadian province literal| otherwise blank"|i|FuneralHome|address.state (expanded from 2 letter code)|string|See [StateLiterals]
Mortality|217|3881|9|Funeral Facility - ZIP|FUNZIP|"Valid 5+4 digit zip code; 3 space 3 for Canada; unknown portion left blank; do not include the ""-"""|i|FuneralHome|address.postalCode|string|-
Mortality|218|3890|8|Person Pronouncing Date Signed|PPDATESIGNED|mmddyyyy format|i|DeathDate|"component[datetimePronouncedDead	].value"|dateTime|-
Mortality|219|3898|4|Person Pronouncing Time Pronounced|PPTIME|Military time|i|DeathDate|component[datetimePronouncedDead].value|dateTime|-
Mortality|220|3902|50|Certifier's First Name|CERTFIRST| |i|Certifier|"name.given | name.use = official"|string|-
Mortality|221|3952|50|Certifier's Middle Name|CERTMIDDLE| |i|Certifier|"name.given | name.use = official"|string|-
Mortality|222|4002|50|Certifier's Last Name|CERTLAST| |i|Certifier|"name.family | name.use = official"|string|-
Mortality|223|4052|10|Certifier's Suffix Name|CERTSUFFIX| |i|Certifier|"name.suffix | name.use = official"|string|-
Mortality|224|4062|10|Certifier - Street number|CERTSTNUM||i|Certifier|address.extension[stnum]|string|-
Mortality|225|4072|10|Certifier - Pre Directional|CERTPREDIR||i|Certifier|address.extension[predir]|string|-
Mortality|226|4082|28|Certifier - Street name|CERTSTRNAME||i|Certifier|address.extension[stname]|string|-
Mortality|227|4110|10|Certifier - Street designator|CERTSTRDESIG||i|Certifier|address.extension[stdesig]|string|-
Mortality|228|4120|10|Certifier - Post Directional|CERTPOSTDIR||i|Certifier|address.extension[postdir]|string|-
Mortality|229|4130|7|Certifier - Unit or apt number|CERTUNITNUM||i|Certifier|address.extension[unitnum]|string|-
Mortality|230|4137|50|Long string address for Certifier same as above but allows states to choose the way they capture information.|CERTADDRESS|"The item is made up of one long string that includes Street number| Pre Directional| Street name| Street designator| and Post Directional. Jurisdiction should use version of Certifier address that's used in their system versus reprogramming."|i|Certifier|address.line |string|-
Mortality|231|4187|28|Certifier - City or Town name|CERTCITYTEXT|Valid city/town/location literal|i|Certifier|address.city |string|-
Mortality|232|4215|2|"State| U.S. Territory or Canadian Province of Certifier - code"|CERTSTATECD|"NCHS Instruction Manual: Part 8
   ZZ = UNKNOWN OR BLANK U.S. STATE OR TERRITORY OR UNKNOWN/ UNCLASSIFIABLE COUNTRY
   XX = COUNTRY IS CANADA BUT UNKNOWN CANADIAN PROVINCE OR ANY COUNTRY THAT IS KNOWN| BUT NOT U.S. OR CANADA                                                                                   For U.S. Territories:
   MP  NORTHERN MARIANAS
   AS  AMERICAN SAMOA
   GU  GUAM
   VI   VIRGIN ISLANDS
   PR  PUERTO RICO
For Canadian Provinces:
   AB  ALBERTA
   BC  BRITISH COLUMBIA
   MB  MANITOBA
   NB  NEW BRUNSWICK
   NL NEWFOUNDLAND AND LABRADOR
   NS  NOVA SCOTIA
   NT  NORTHWEST TERRITORIES
   NU  NUNAVUT
   ON  ONTARIO
   PE  PRINCE EDWARD ISLAND
   QC  QUEBEC
   SK  SASKATCHEWAN
   YT  YUKON"|i|Certifier|address.state|string|[StatesTerritoriesProvincesVS]
Mortality|233|4217|28|"State| U.S. Territory or Canadian Province of Certifier - literal"|CERTSTATE|Valid text for U.S. State or Territory or Canadian Province|i|Certifier|address.state (expanded from 2 letter code)|string|See [StateLiterals]
Mortality|234|4245|9|Certifier - Zip|CERTZIP|"Valid 5+4 digit zip code; 3 space 3 for Canada; unknown portion left blank; do not include the ""-"""|i|Certifier|address.postalCode|string|-
Mortality|235|4254|8|Certifier Date Signed|CERTDATE|Date signed by Certifier in mmddyyyy format|i|DeathCertification|performed|dateTime|-
Mortality|236|4262|8|Date Filed|FILEDATE|Date Filed by Registrar in mmddyyyy format||<not implemented>|||-
Mortality|237|4270|28|"State| U.S. Territory or Canadian Province of Injury - literal"|STINJURY|"Valid state| U.S. territory or Canadian province literal| otherwise blank (blank if natural death)"|i|InjuryLocation|address.state (expanded from 2 letter code)|string|See [StateLiterals]
Mortality|238|4298|28|"State| U.S. Territory or Canadian Province of Birth - literal"|STATEBTH|"Valid state| U.S. territory or Canadian province literal| otherwise blank"|i|Decedent|extension[patient-birthPlace].value[x].state or extension[patient-birthPlace].value[x].state.extension[ nationalReportingJurisdictionId] if present    (expanded from 2 letter code)|string|See [StateLiterals]
Mortality|239|4326|2|Country of Death - Code|DTHCOUNTRYCD|NCHS Instruction Manual: Part 8|i|DeathLocation|address.country |string |[ResidenceCountryVS].  Note: For US Death certificates should be US
Mortality|240|4328|28|Country of Death - Literal|DTHCOUNTRY|Valid text for country of death|i|DeathLocation|address.country  (expanded from 2 letter code)|string |See [CountryLIterals].   Not used. For US Death certificates should be 'United States'.
Mortality|241|4356|3|SSA State Source of Death|SSADTHCODE|SSA Specific State Codes (see SSA contract)||<not implemented>|||-
Mortality|242|4359|1|SSA Foreign Country Indicator|SSAFOREIGN|"SSA indicator| 1 if foreign"||<not implemented>|||-
Mortality|243|4360|1|SSA EDR Verify Code|SSAVERIFY|Y=Yes; N=No ||<not implemented>|||-
Mortality|244|4361|8|SSA Date of SSN Verification|SSADATEVER|SSA Date of Verification||<not implemented>|||-
Mortality|245|4369|8|SSA Date of State Transmission|SSADATETRANS|SSA Date of State Transmission||<not implemented>|||-
Mortality|246|4377|50|Marital Descriptor|MARITAL_DESCRIP|"Free text for use of jurisdictions with domestic partnerships| other
types of relationships."|i|Decedent|maritalStatus.text |string|-
Mortality|247|4427|3|Hispanic Code for Literal|DETHNIC5C|||CodedRaceAndEthnicity|component[HispanicCodeForLiteral].value|codeable|[HispanicOriginVS]
Mortality|248|4430|1|Blank for One-Byte Field 1|PLACE1_1|alphanumeric||EmergingIssues|component[EmergingIssue1_1].value|string(1)|-
Mortality|249|4431|1|Blank for One-Byte Field 2|PLACE1_2|alphanumeric||EmergingIssues|component[EmergingIssue1_2].value|string(1)|-
Mortality|250|4432|1|Blank for One-Byte Field 3|PLACE1_3|alphanumeric||EmergingIssues|component[EmergingIssue1_3].value|string(1)|-
Mortality|251|4433|1|Blank for One-Byte Field 4|PLACE1_4|alphanumeric||EmergingIssues|component[EmergingIssue1_4].value|string(1)|-
Mortality|252|4434|1|Blank for One-Byte Field 5|PLACE1_5|alphanumeric||EmergingIssues|component[EmergingIssue1_5].value|string(1)|-
Mortality|253|4435|1|Blank for One-Byte Field 6|PLACE1_6|alphanumeric||EmergingIssues|component[EmergingIssue1_6].value|string(1)|-
Mortality|254|4436|8|Blank for Eight-Byte Field 1|PLACE8_1|alphanumeric||EmergingIssues|component[EmergingIssue8_1].value|string(8)|-
Mortality|255|4444|8|Blank for Eight-Byte Field 2|PLACE8_2|alphanumeric||EmergingIssues|component[EmergingIssue8_2].value|string(8)|-
Mortality|256|4452|8|Blank for Eight-Byte Field 3|PLACE8_3|alphanumeric||EmergingIssues|component[EmergingIssue8_3].value|string(8)|-
Mortality|257|4460|20|Blank for Twenty-Byte Field|PLACE20|alphanumeric||EmergingIssues|component[EmergingIssue20].value|string(20)|-
Mortality|258|4480|250|Blank for future expansion|BLANK2|For future expansion or to account for problems missed||<not implemented>|||-
Mortality|259|4730|271|Blank for Jurisdictional Use Only|BLANK3|For Jurisdictions to share additional internal data with their data partners ||<not implemented>|||-
Surveillance|1|1|4|Date of Death--Year|DOD_YR|4 digit year||DeathDate|value|dateTime|Required for processing
Surveillance|2|5|2|"State| U.S. Territory or Canadian Province of Death - code"|DSTATE|"NCHS Instruction Manual: Part 8
For U.S. Territories:
   MP  NORTHERN MARIANAS
   AS  AMERICAN SAMOA
   GU  GUAM
   VI   VIRGIN ISLANDS
   PR  PUERTO RICO
For Canadian Provinces:
   AB  ALBERTA
   BC  BRITISH COLUMBIA
   MB  MANITOBA
   NB  NEW BRUNSWICK
   NL  NEWFOUNDLAND AND LABRADOR
   NS  NOVA SCOTIA
   NT  NORTHWEST TERRITORIES
   NU  NUNAVUT
   ON  ONTARIO
   PE  PRINCE EDWARD ISLAND
   QC  QUEBEC
   SK  SASKATCHEWAN
   YT  YUKON"||DeathLocation|address.state or address.state.extension[nationalReportingJurisdictionId ]|codeable|[StatesTerritoriesProvincesVS] in state field or [JurisdictionVS] in extension
Surveillance|NA|NA|NA|Death Record Identifier|*NO IJE MAPPING*|"YYYYJJNNNNNN|  YYYY = death year JJ = jurisdiction  and NNNNNN = certificate number"||SurveillanceBundle|identifier.value|string(12)|"YYYYJJNNNNNN|  YYYY = death year JJ = jurisdiction  and NNNNNN = certificate number"
Surveillance|3|7|6|Certificate Number|FILENO|Left 0 filled; 000001-999999||SurveillanceBundle|identifier.extension[ certificateNumber].value|string(6)|-
Surveillance|4|13|12|Auxiliary State file number|AUXNO|000000000001-999999999999; Blank||SurveillanceBundle|identifier.extension[auxiliaryStateIdentifier1].value|string(12)|-
Surveillance|5|25|50|Decedent's Legal Name--Given |GNAME|||Decedent|"name.given | name.use = official"|string|-
Surveillance|6|75|1|Decedent's Legal Name--Middle|MNAME|||Decedent|"name.given | name.use = official (first letter)"|string|-
Surveillance|7|76|50|Decedent's Legal Name--Last|LNAME|Last name is required||Decedent|"name.family | name.use = official"|string|-
Surveillance|8|126|10|Decedent's Legal Name--Suffix|SUFF|||Decedent|"name.suffix | name.use = official"|string|-
Surveillance|9|136|50|Father's Surname|FLNAME|||DecedentFather|name.family|string|-
Surveillance|10|186|1|Sex|SEX|"M = Male
F = Female
U = Unknown"||Decedent|extension[NVSS-SexAtDeath] |codeable|[AdministrativeGenderVS]
Surveillance|11|187|9|Social Security Number|SSN|9 digit SSN; blank if unknown or not sharable||Decedent|"identifier.value where system = 'http://hl7.org/fhir/sid/us-ssn and type.coding.code=""SB"""|string|-
Surveillance|12|196|1|Decedent's Age--Type|AGETYPE|"1 = Years
2 = Months
4 = Days
5 = Hours
6 = Minutes
9 = Unknown (not classifiable)"||DecedentAge|valueQuantity.code|codeable|[UnitsOfAgeVS]
Surveillance|13|197|3|Decedent's Age--Units|AGE |"001 - 135| 999
Codes: If AGETYPE = 1 then 001-135| 999
                                        2 then 001-011| 999
                                        4 then 001-027| 999
                                        5 then 001-023| 999
                                        6 then 001-059| 999
                                        9 then 999"||DecedentAge|valueQuantity.value|decimal|-
Surveillance|14|200|1|Decedent's Age--Edit Flag|AGE_BYPASS|"0 = Edit Passed
1 = Edit Failed| Data Queried| and Verified"||DecedentAge|value.extension[BypassEditFlag].value|codeable|[EditBypass01VS]
Surveillance|15|201|4|Date of Birth--Year|DOB_YR|"4 digit year; <=year of death| 9999"||Decedent|birthDate|dateTime|See [PartialDatesAndTimes]
Surveillance|16|205|2|Date of Birth--Month|DOB_MO|"01-12| 99"||Decedent|birthDate|dateTime|See [PartialDatesAndTimes]
Surveillance|17|207|2|Date of Birth--Day|DOB_DY|"01-31 (based on month)| 99"||Decedent|birthDate|dateTime|See [PartialDatesAndTimes]
Surveillance|18|209|2|Birthplace--Country|BPLACE_CNT|NCHS Instruction Manual: Part 8||Decedent|extension[patient-birthPlace].value[x].country |string|[BirthplaceCountryVS]
Surveillance|19|211|2|"State| U.S. Territory or Canadian Province of Birth - code"|BPLACE_ST|"NCHS Instruction Manual: Part 8
   ZZ = UNKNOWN OR BLANK U.S. STATE OR TERRITORY OR UNKNOWN/ UNCLASSIFIABLE COUNTRY
   XX = COUNTRY IS CANADA BUT UNKNOWN CANADIAN PROVINCE OR ANY COUNTRY THAT IS KNOWN| BUT NOT U.S. OR CANADA
For U.S. Territories:
   MP  NORTHERN MARIANAS
   AS  AMERICAN SAMOA
   GU  GUAM
   VI   VIRGIN ISLANDS
   PR  PUERTO RICO
For Canadian Provinces:
   AB  ALBERTA
   BC  BRITISH COLUMBIA
   MB  MANITOBA
   NB  NEW BRUNSWICK
   NL  NEWFOUNDLAND AND LABRADOR
   NS  NOVA SCOTIA
   NT  NORTHWEST TERRITORIES
   NU  NUNAVUT
   ON  ONTARIO
   PE  PRINCE EDWARD ISLAND
   QC  QUEBEC
   SK  SASKATCHEWAN
   YT  YUKON"||Decedent|extension[patient-birthPlace].value[x].state|string|[StatesTerritoriesProvincesVS]
Surveillance|20|213|5|Decedent's Residence--City|CITYC|NCHS Instruction Manual: Part 8||Decedent|address.city.extension[ cityCode ]|string|see [CityCodes]
Surveillance|21|218|3|Decedent's Residence--County|COUNTYC|NCHS Instruction Manual: Part 8||Decedent|address.district.extension[ countyCode ]|string|see [CountyCodes]
